"id","name_spec"
"151","Специалист по сертификации"
"122","Страховой агент"
"77","Мерчандайзер"
"158","Комплаенс-менеджер"
"12","Арт-директор, креативный директор"
"6","Агент по недвижимости"
"18","Бухгалтер"
"124","Тестировщик"
"70","Менеджер по продажам, менеджер по работе с клиентами"
"49","Технолог"
"34","Дизайнер, художник"
"85","Оператор производственной линии"
"64","Медицинская сестра, медицинский брат"
"173","Механик"
"133","Фармацевт-провизор"
"48","Инженер-конструктор, инженер-проектировщик"
"53","Коммерческий директор (CCO)"
"56","Косметолог"
"3","SMM-менеджер, контент-менеджер"
"128","Токарь, фрезеровщик, шлифовщик"
"8","Администратор"
"123","Супервайзер"
"102","Разнорабочий"
"62","Мастер-приемщик"
"74","Менеджер ресторана"
"88","Офис-менеджер"
"137","Финансовый менеджер"
"105","Руководитель отдела клиентского обслуживания"
"153","Менеджер по компенсациям и льготам"
"65","Медицинский представитель"
"162","Мастер по ремонту оборудования, техники"
"138","Фитнес-тренер, инструктор тренажерного зала"
"23","Воспитатель, няня"
"165","Дата-сайентист"
"168","Лаборант"
"127","Товаровед"
"33","Делопроизводитель, архивариус"
"144","Инженер-энергетик, инженер-электрик"
"11","Андеррайтер"
"1","Event-менеджер"
"73","Менеджер продукта"
"161","Руководитель филиала"
"57","Кредитный специалист"
"42","Заведующий аптекой"
"47","Инженер ПТО, инженер-сметчик"
"120","Специалист службы безопасности"
"81","Начальник склада"
"63","Машинист"
"9","Администратор магазина, администратор торгового зала"
"143","Электромонтажник"
"78","Монтажник"
"58","Курьер"
"72","Менеджер по туризму"
"43","Зоотехник"
"160","DevOps-инженер"
"79","Научный специалист, исследователь"
"51","Кассир-операционист"
"38","Директор по персоналу (HRD)"
"115","Слесарь, сантехник"
"39","Диспетчер"
"32","Дворник"
"116","Специалист по информационной безопасности"
"60","Массажист"
"156","BI-аналитик, аналитик данных"
"91","Оценщик"
"136","Финансовый контролер"
"104","Руководитель группы разработки"
"119","Специалист по тендерам"
"92","Парикмахер"
"148","Системный аналитик"
"24","Врач"
"100","Прораб, мастер СМР"
"167","Методист"
"164","Продуктовый аналитик"
"44","Инженер по качеству"
"152","Метролог"
"86","Оператор станков с ЧПУ"
"135","Финансовый директор (CFO)"
"109","Сварщик"
"87","Операционный директор (COO)"
"2","PR-менеджер"
"99","Промоутер"
"90","Охранник"
"141","Швея, портной, закройщик"
"76","Менеджер/руководитель АХО"
"110","Секретарь, помощник руководителя, ассистент"
"71","Менеджер по работе с партнерами"
"83","Оператор call-центра, специалист контактного центра"
"15","Ассистент врача"
"129","Торговый представитель"
"55","Копирайтер, редактор, корректор"
"28","Геолог"
"125","Технический директор (CTO)"
"17","Бизнес-тренер"
"154","Брокер"
"157","Руководитель отдела аналитики"
"54","Координатор отдела продаж"
"30","Главный инженер проекта"
"159","Бортпроводник"
"98","Продюсер"
"108","Руководитель строительного проекта"
"46","Инженер по эксплуатации"
"45","Инженер по охране труда и технике безопасности, инженер-эколог"
"10","Аналитик"
"25","Гейм-дизайнер"
"93","Переводчик"
"131","Упаковщик, комплектовщик"
"59","Маляр, штукатур"
"146","Юрист"
"94","Повар, пекарь, кондитер"
"106","Руководитель отдела продаж"
"82","Начальник смены, мастер участка"
"35","Директор магазина, директор сети магазинов"
"166","Директор юридического департамента (CLO)"
"80","Начальник производства"
"149","Контролёр ОТК"
"139","Фотограф, ретушер"
"14","Архитектор"
"4","Автомойщик"
"142","Экономист"
"126","Технический писатель"
"27","Геодезист"
"150","Бизнес-аналитик"
"68","Менеджер по маркетингу, интернет-маркетолог"
"103","Режиссер, сценарист"
"174","Инженер ПНР"
"140","Хостес"
"171","Руководитель отдела персонала"
"16","Аудитор"
"50","Казначей"
"130","Уборщица, уборщик"
"155","Методолог"
"170","Руководитель отдела маркетинга и рекламы"
"107","Руководитель проектов"
"69","Менеджер по персоналу"
"96","Программист, разработчик"
"67","Менеджер по логистике, менеджер по ВЭД"
"134","Финансовый аналитик, инвестиционный аналитик"
"132","Учитель, преподаватель, педагог"
"13","Артист, актер, аниматор"
"36","Директор по информационным технологиям (CIO)"
"19","Ветеринарный врач"
"61","Мастер ногтевого сервиса"
"75","Менеджер/консультант по стратегии"
"121","Специалист технической поддержки"
"101","Психолог"
"145","Юрисконсульт"
"31","Грузчик"
"118","Специалист по подбору персонала"
"29","Главный врач, заведующий отделением"
"114","Системный инженер"
"37","Директор по маркетингу и PR (CMO)"
"21","Водитель"
"52","Кладовщик"
"163","Маркетолог-аналитик"
"26","Генеральный директор, исполнительный директор (CEO)"
"111","Сервисный инженер, инженер-механик"
"5","Автослесарь, автомеханик"
"147","Специалист по взысканию задолженности"
"169","Инженер-электроник, инженер-электронщик"
"113","Системный администратор"
"66","Менеджер по закупкам"
"41","Журналист, корреспондент"
"22","Военнослужащий"
"89","Официант, бармен, бариста"
"95","Полицейский"
"172","Руководитель отдела логистики"
"7","Агроном"
"112","Сетевой инженер"
"20","Видеооператор, видеомонтажер"
"84","Оператор ПК, оператор базы данных"
"97","Продавец-консультант, продавец-кассир"
"117","Специалист по кадрам"